B2,B3,B4,B5,B6,B7,B8,class
316.0,458.0,544.0,636.0,1101.0,1225.0,1512.0,10
292.0,375.0,455.0,841.0,1331.0,1468.0,1148.0,10
335.0,460.0,395.5,686.0,1343.0,1504.5,1726.0,10
382.0,533.5,663.0,848.0,1450.5,1720.0,1466.0,10
522.0,597.5,418.5,948.0,2728.5,3312.5,3188.0,10
409.5,603.0,701.0,1089.0,1627.5,1859.5,1646.5,10
434.0,684.0,632.0,1126.5,2032.5,2260.0,2302.0,10
250.0,409.0,446.0,871.0,1688.0,2056.0,2510.0,10
61.0,154.0,126.5,317.5,1112.5,1400.0,1587.5,10
364.0,637.5,706.5,1353.0,2232.0,2589.5,2475.0,10
209.5,323.5,397.5,614.0,1486.0,1846.0,2035.0,10
248.0,382.0,267.0,796.5,2145.0,2613.0,2540.0,10
800.5,1140.0,1412.5,1604.0,2000.0,2225.0,1997.0,10
288.5,391.5,416.5,650.0,1168.0,1285.0,1327.0,10
251.0,459.0,515.5,873.0,1915.0,2330.0,2266.5,10
576.0,905.5,1130.0,1499.0,1964.0,2164.0,2215.0,10
264.0,536.0,428.0,854.5,2064.0,2467.5,2732.0,10
740.0,983.0,1107.0,1543.0,2392.5,2689.5,2407.0,10
435.0,539.5,433.5,800.0,1902.5,2218.0,2238.0,10
369.5,454.5,320.5,812.5,1667.0,1877.0,2043.0,10
457.5,761.0,716.0,1251.0,2393.5,2823.0,2913.0,10
700.0,918.0,1224.0,1645.5,1989.5,2190.0,2226.0,10
432.0,675.0,745.5,1264.5,2101.5,2420.5,2452.0,10
615.5,896.5,942.0,1825.5,3960.0,4571.5,4306.5,10
262.5,398.0,370.0,734.5,1691.0,2023.5,2305.0,10
133.0,164.0,185.5,343.5,657.0,886.5,580.0,10
418.5,644.0,706.5,1011.5,1617.5,1835.0,1955.5,10
453.0,552.0,362.0,812.0,2516.5,3065.0,3214.0,10
370.0,479.0,330.5,788.5,2040.5,2429.5,2599.0,10
379.0,538.0,606.0,617.0,1395.0,1615.5,1846.0,10
146.5,195.5,157.5,413.5,1482.5,1938.0,2067.0,10
453.0,738.0,874.0,1466.0,2318.5,2649.5,2710.5,10
358.5,486.0,643.0,698.0,947.0,1095.0,1254.0,10
920.0,1280.0,1569.0,1723.0,2082.0,2291.5,2254.0,10
332.5,499.0,520.5,782.0,1433.0,1642.0,1451.0,10
