B2,B3,B4,B5,B6,B7,B8,class
1847.0,2166.0,2416.0,2741.0,2673.0,2676.0,2397.0,50
461.0,653.5,734.0,1034.0,1739.0,1984.0,2067.5,50
1907.0,1924.0,2073.0,2569.0,2554.5,2653.5,2557.5,50
1306.0,1597.0,1888.0,2364.5,2501.0,2477.0,1999.5,50
624.5,945.0,1274.0,1672.5,2046.5,2218.0,2367.0,50
669.0,953.5,1239.5,1564.0,1711.5,1765.0,1454.0,50
663.0,828.5,1054.0,1879.0,2151.0,2320.5,1891.0,50
704.0,922.0,1075.0,1428.5,1722.5,1914.5,1993.5,50
1122.0,1406.0,1766.0,2136.5,2427.0,2572.5,2513.0,50
1799.0,2285.0,2643.0,2292.0,2427.5,2636.5,3063.0,50
698.0,1001.0,1234.0,1904.5,2453.5,2738.5,2858.5,50
1462.0,1818.0,2184.0,2173.5,2149.0,2182.5,2375.0,50
867.0,1142.0,1369.0,1521.5,1818.5,2045.5,2212.0,50
1311.0,1622.0,2061.0,1998.0,2255.5,2394.0,2534.0,50
534.0,767.0,850.0,1396.5,1720.5,1848.5,1757.0,50
1468.0,1812.0,2048.0,1815.0,2032.5,2111.0,2205.0,50
885.5,1190.0,1442.0,1896.0,2189.5,2328.0,2175.0,50
3172.0,3128.0,3033.0,2103.5,2497.0,2857.5,3466.0,50
601.0,914.0,1329.0,1585.5,1975.5,2190.0,2234.5,50
919.5,1363.0,1818.0,2156.5,2360.5,2507.5,2381.0,50
1532.0,1829.0,2071.0,1724.0,1778.0,1778.0,2282.5,50
765.5,1131.0,1489.0,1976.0,2335.0,2501.5,2563.0,50
1375.0,1699.0,2109.0,2157.0,2271.5,2375.0,2384.0,50
1113.0,1780.0,2313.0,2181.5,2388.5,2449.0,2462.0,50
692.0,873.5,1074.0,1535.0,2068.5,2360.5,2321.0,50
683.5,996.5,1335.0,1956.0,2202.5,2390.5,2301.5,50
1232.0,1524.0,1729.0,2149.5,2377.0,2595.5,2806.5,50
680.5,994.5,1315.0,1927.0,2177.5,2298.0,1849.5,50
964.0,1314.0,1978.0,2160.0,2334.5,2370.5,2352.0,50
1490.0,2185.0,2810.0,2823.5,2968.0,3129.5,3444.5,50
1131.0,1413.0,1810.0,1964.5,2109.0,2248.0,2369.0,50
856.0,1065.0,1333.0,1781.0,1838.5,2087.0,1724.0,50
800.0,1042.0,1248.5,1113.0,1192.5,1272.5,1427.0,50
879.5,1274.0,1696.0,1960.5,2220.5,2406.0,2363.0,50
1384.0,1726.0,2092.0,2287.0,2582.0,2713.0,2764.0,50
757.5,1130.0,1683.5,2012.0,2209.5,2466.0,2542.5,50
754.0,1038.0,1521.0,1975.0,2325.5,2414.5,2308.0,50
1031.0,1331.0,1474.0,1636.5,1921.0,2043.5,2045.0,50
1706.0,2072.0,2466.0,2355.5,3073.5,3341.5,3266.0,50
1271.0,1608.0,1895.0,1878.5,2084.5,2101.5,2191.0,50
1075.0,1430.0,1778.0,1722.5,1937.0,2066.5,2125.0,50
1255.0,1402.0,1594.0,1762.5,2328.0,2511.0,2742.0,50
1032.0,1506.0,1956.0,2156.0,2220.5,2302.5,2042.0,50
1007.5,1248.0,1608.0,1928.0,1983.0,2018.0,1784.5,50
1657.0,2014.0,2233.5,2155.5,2191.5,2191.5,2292.0,50
1044.0,1190.0,1576.0,1514.5,1961.0,2211.0,2105.5,50
1090.0,1544.0,2094.0,2449.5,2564.0,2721.0,2743.0,50
744.0,962.0,1251.0,1528.5,1718.5,1824.5,1800.0,50
984.5,1337.0,1805.0,2164.5,2396.5,2510.0,2472.0,50
459.0,552.0,727.5,1155.5,1200.5,1261.5,805.0,50
457.5,688.5,840.0,1202.0,1582.0,1723.0,1653.0,50
400.5,662.0,862.0,1456.5,1831.0,2010.0,1967.0,50
980.5,1250.0,1516.0,1516.0,1889.0,2043.0,2103.5,50
1316.0,1846.0,1914.0,2313.5,2796.0,3048.5,3111.5,50
1100.0,1468.0,1785.0,1896.5,2090.5,2251.5,2194.0,50
569.5,724.0,827.5,892.5,1532.0,1752.0,1879.5,50
860.0,1247.0,1800.0,1960.0,2369.5,2541.0,2652.0,50
1038.0,1497.0,1953.0,2579.5,3085.5,3349.5,3269.0,50
839.0,1246.0,1728.0,1841.0,2174.5,2322.0,2395.0,50
1117.0,1597.0,2755.0,2220.0,2567.0,2763.5,3180.0,50
393.5,531.0,588.0,875.5,1292.0,1397.0,1157.0,50
999.0,1303.0,1526.0,1682.5,2081.5,2289.0,2054.5,50
923.5,1157.0,1409.0,1977.5,2575.0,2825.5,3092.0,50
1025.0,1549.0,2797.5,2614.0,2791.0,2777.0,3170.0,50
970.0,1376.0,1576.0,1973.5,2386.5,2603.5,2845.0,50
1086.0,1355.0,1612.0,1612.0,1653.5,1719.5,1810.0,50
1108.0,1340.0,1897.0,1583.0,1618.5,1634.5,1849.0,50
824.5,1173.0,1482.0,1848.5,2131.5,2267.5,2302.5,50
1016.0,1441.0,1706.0,2084.5,2298.0,2451.0,2306.0,50
827.0,1217.0,1909.0,1971.0,2335.0,2503.0,2377.0,50
591.0,837.5,1084.0,1573.5,1939.0,2071.0,2066.5,50
1317.0,1612.0,2500.0,2439.0,2527.0,2561.0,2575.5,50
821.0,1179.0,1561.0,1659.0,1931.5,2122.0,2240.0,50
1038.0,1564.0,2042.0,2166.0,2337.5,2479.0,2565.0,50
1048.0,1287.0,1816.0,1951.5,2013.5,1964.5,1974.0,50
1116.0,1314.0,1310.5,1568.0,1655.0,1909.5,1744.5,50
513.0,825.0,1113.0,1571.5,1993.5,2177.5,2144.5,50
1160.0,1382.0,1592.0,1826.0,1884.5,2001.0,1709.0,50
810.5,1198.0,1712.0,2017.5,2212.0,2394.5,2335.0,50
1012.0,1273.0,1642.0,2065.5,2169.0,2346.5,2215.5,50
764.0,1020.0,1346.0,1611.0,1991.0,2164.0,2232.0,50
922.5,1371.0,2214.0,2195.5,2465.5,2549.0,2816.0,50
1076.0,1492.0,1981.0,2094.0,2332.5,2427.0,2645.0,50
2644.0,3254.0,3580.0,2742.5,2882.0,2858.0,3470.0,50
1108.0,1390.0,1654.0,1940.0,2106.0,2191.5,1882.0,50
969.0,1224.0,1529.0,1948.5,2126.5,2293.5,2130.0,50
792.0,1132.0,1421.0,1944.0,2206.0,2268.0,2052.0,50
1008.0,1157.0,1311.0,1343.0,1346.0,1364.0,1360.0,50
839.0,1090.0,1520.0,1567.0,1818.0,1985.0,2052.0,50
1293.0,1525.0,1756.5,1770.0,1916.5,2003.5,2107.0,50
1424.0,1976.0,2359.0,2154.5,2354.5,2486.0,2728.0,50
1039.0,1454.0,1773.0,2424.5,2512.5,2499.0,2179.0,50
1962.0,2253.0,2521.0,2216.5,2381.5,2520.5,2729.0,50
769.0,1075.0,1466.0,1834.0,2087.5,2253.5,2266.0,50
836.0,1112.0,1798.0,1859.0,2096.5,2278.5,2401.5,50
1034.0,1454.0,1835.0,1751.5,1886.0,1983.5,2268.0,50
1126.0,1554.0,1929.0,2014.0,2326.0,2437.5,2618.5,50
1157.0,1471.0,1854.0,1925.5,2060.0,2187.0,2273.0,50
1947.0,2396.0,2703.0,2826.5,2921.0,2875.0,3210.0,50
1675.0,2206.0,2521.0,2273.5,2381.0,2414.0,2799.5,50
1324.0,1818.0,2309.0,2210.5,2506.5,2586.0,2659.0,50
978.0,1218.0,1437.0,1669.5,1705.0,1834.5,1584.0,50
1093.0,1577.0,2102.0,2434.0,2643.0,2797.5,2539.0,50
